City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,chuy,-33.6971,-53.4616,68.68,84,0,11.54,UY,1680050066
141,karymskoye,51.6167,114.35,37.47,65,100,10.89,RU,1680050066
142,port blair,11.6667,92.75,77.04,88,40,2.3,IN,1680050066
143,norman wells,65.282,-126.8329,33.84,40,75,13.8,CA,1680050066
144,carnarvon,-24.8667,113.6333,75.74,71,100,5.19,AU,1680050067
145,rocha,-34.4833,-54.3333,62.85,85,0,7.47,UY,1680050067
146,tars,36.9188,34.8784,57.58,86,20,6.8,TR,1680050067
147,moralillo,22.2167,-97.9,79.03,83,40,10.71,MX,1680050067
148,ashland,40.8167,-82.2665,42.87,77,100,4.12,US,1680050068
149,surt,31.2089,16.5887,60.13,67,6,14.32,LY,1680050068
150,hofn,64.2539,-15.2082,30.9,94,100,21.27,IS,1680050068
151,phalaborwa,-23.943,31.1411,61.88,68,3,6.06,ZA,1680050068
152,hithadhoo,-0.6,73.0833,82.45,76,96,5.28,MV,1680050068
153,bargi,22.9833,79.8667,72.77,32,0,3.74,IN,1680050069
154,nuuk,64.1835,-51.7216,5.86,82,19,8.57,GL,1680050069
155,wanning,18.8003,110.3967,77.61,86,77,4.52,CN,1680050069
156,fasa,28.9383,53.6482,47.44,66,0,6.91,IR,1680050070
157,chumphon,10.3333,98.8333,77.72,73,100,2.75,TH,1680050070
158,san luis,-33.295,-66.3356,73.96,53,0,7.78,AR,1680049891
159,port macquarie,-31.4333,152.9167,68.9,99,100,3.29,AU,1680050070
160,tromso,69.6496,18.957,18.37,79,0,0.0,NO,1680050070
161,mackay,-21.15,149.2,84.69,63,100,3.85,AU,1680050071
162,vysokogornyy,50.1167,139.15,39.29,52,86,11.03,RU,1680050071
163,jambi,-1.6,103.6167,76.51,94,56,1.45,ID,1680050071
164,agua branca,-5.8922,-42.6361,73.72,92,100,3.94,BR,1680050071
165,khatanga,71.9667,102.5,-6.54,96,100,13.13,RU,1680050072
166,port alfred,-33.5906,26.891,61.18,80,32,7.0,ZA,1680050017
167,moron,-34.6534,-58.6198,78.55,56,0,5.57,AR,1680050072
168,bonavista,48.6499,-53.1147,30.0,92,100,16.28,CA,1680050072
169,jalu,29.0331,21.5482,61.29,46,2,14.5,LY,1680050072
170,alibag,18.6411,72.8792,77.07,71,5,10.76,IN,1680050073
171,champerico,14.3,-91.9167,88.34,65,1,9.04,GT,1680050073
172,igurusi,-8.85,33.85,63.09,97,100,0.76,TZ,1680050073
173,naze,28.3667,129.4833,59.92,63,100,17.11,JP,1680050073
174,sekoma,-24.4,23.8833,63.97,74,4,7.05,BW,1680050073
175,moindou,-21.6924,165.677,84.85,58,100,5.59,NC,1680050074
176,atasu,48.6814,71.6433,32.95,75,0,6.17,KZ,1680050074
177,quatre cocos,-20.2078,57.7625,74.08,82,29,7.07,MU,1680050074
178,vardo,70.3705,31.1107,28.38,69,40,9.22,NO,1680050074
179,namibe,-15.1961,12.1522,74.52,89,52,12.33,AO,1680050074
180,mayo,38.8876,-76.5119,52.21,54,0,5.75,US,1680050075
181,lagos,6.5833,3.75,82.72,86,73,4.25,NG,1680049814
182,ondjiva,-17.0667,15.7333,71.64,83,69,2.3,AO,1680050075
183,corralillo,22.9819,-80.5856,78.24,69,100,6.44,CU,1680050076
184,oriximina,-1.7656,-55.8661,75.34,94,95,1.74,BR,1680050076
185,santa rosalia,27.3167,-112.2833,67.8,29,0,3.33,MX,1680049881
186,verkhnevilyuysk,63.4453,120.3167,0.23,89,72,6.42,RU,1680050076
187,kahului,20.8947,-156.47,84.22,64,40,8.05,US,1680049807
188,vao,-22.6667,167.4833,76.71,79,62,17.25,NC,1680050077
189,hohhot,40.8106,111.6522,54.91,24,0,4.47,CN,1680050077
190,ulladulla,-35.35,150.4667,66.78,73,99,11.63,AU,1680050077
191,aksu,41.1231,80.2644,49.93,20,0,4.12,CN,1680050077
192,birecik,37.0294,37.9903,49.21,83,0,6.98,TR,1680050077
193,komsomolskiy,40.4272,71.7189,52.52,54,100,9.22,UZ,1680050078
194,sinop,41.7711,34.8709,37.49,98,100,6.35,TR,1680050078
195,hamilton,39.1834,-84.5333,44.73,78,75,6.91,US,1680049927
196,xai-xai,-25.0519,33.6442,62.98,84,0,6.06,MZ,1680050078
197,dno,57.8277,29.9637,27.99,96,100,9.62,RU,1680050078
198,borovskoy,53.8,64.15,38.61,95,100,12.24,KZ,1680050079
199,codrington,-38.2667,141.9667,59.52,71,100,10.36,AU,1680050079
200,salalah,17.0151,54.0924,82.49,78,75,1.14,OM,1680050079
201,kenai,60.5544,-151.2583,35.69,69,40,6.91,US,1680050079
202,san patricio,28.017,-97.5169,71.83,48,100,13.76,US,1680050080
203,flinders,-34.5833,150.8552,74.17,80,100,7.0,AU,1680050080
204,izhma,65.0083,53.9113,10.53,94,58,7.96,RU,1680050080
205,oranjemund,-28.55,16.4333,60.33,93,22,11.54,NA,1680050080
206,kudahuvadhoo,2.6708,72.8944,82.02,72,100,3.09,MV,1680050081
207,kaeo,-35.1,173.7833,69.33,54,2,10.65,NZ,1680050081
208,cabo san lucas,22.8909,-109.9124,77.31,41,75,0.0,MX,1680050081
209,sola,-13.8833,167.55,81.75,73,100,4.83,VU,1680050081
210,westport,41.1415,-73.3579,47.75,50,0,4.61,US,1680050081
211,itaueira,-7.6033,-43.0256,73.71,57,100,3.71,BR,1680050081
212,saint-philippe,-21.3585,55.7679,74.79,68,87,4.18,RE,1680050082
213,brandfort,-28.7001,26.4597,54.81,79,100,14.74,ZA,1680050082
214,ostrovnoy,68.0531,39.5131,24.31,93,100,5.21,RU,1680050082
215,vikhorevka,56.1201,101.1636,33.39,94,100,12.35,RU,1680050082
216,san jeronimo,-11.9472,-75.2829,49.37,87,91,5.03,PE,1680050082
217,luderitz,-26.6481,15.1594,60.91,84,0,23.58,NA,1680050083
218,ewa beach,21.3156,-158.0072,82.6,75,75,11.5,US,1680050083
219,ahipara,-35.1667,173.1667,63.52,50,28,15.95,NZ,1680050083
220,lulea,65.5842,22.1547,21.27,93,100,6.91,SE,1680050083
221,opuwo,-18.0607,13.84,65.79,80,39,3.22,NA,1680050084
222,touros,-5.1989,-35.4608,82.18,72,100,15.73,BR,1680050084
223,sungaipenuh,-2.0833,101.3833,69.94,77,95,1.52,ID,1680050084
224,menongue,-14.6585,17.691,62.73,92,45,2.33,AO,1680050084
225,deulgaon raja,20.0167,76.0333,73.6,30,3,6.67,IN,1680050085
226,mbandaka,0.0487,18.2603,71.11,93,32,1.74,CD,1680050085
227,mtwara,-10.2667,40.1833,76.33,94,75,11.5,TZ,1680050085
228,kashi,39.4547,75.9797,56.41,19,65,8.95,CN,1680050085
229,bundaberg,-24.85,152.35,87.22,65,100,3.0,AU,1680050085
230,saint-augustin,51.226,-58.6502,32.41,97,100,2.1,CA,1680050085
231,bokoro,12.3807,17.0568,82.17,18,96,11.7,TD,1680050086
232,lompoc,34.6391,-120.4579,59.85,74,100,12.66,US,1680049800
233,sabha,27.0377,14.4283,64.17,33,0,20.4,LY,1680050086
234,airai,-8.9266,125.4092,69.64,64,23,2.53,TL,1680050086
235,la gomera,14.0833,-91.05,82.26,68,30,5.75,GT,1680050087
236,impfondo,1.6381,18.0667,70.74,99,52,2.82,CG,1680050087
237,timizart,36.8,4.2667,49.35,72,0,5.46,DZ,1680050087
238,san policarpo,12.1791,125.5072,80.91,83,100,10.58,PH,1680050087
239,bubaque,11.2833,-15.8333,78.62,69,100,12.39,GW,1680050087
240,iquique,-20.2208,-70.1431,73.44,81,96,1.83,CL,1680049922
241,elban,50.1018,136.5094,36.61,67,67,10.02,RU,1680050088
242,sault sainte marie,46.5168,-84.3333,32.29,66,100,4.61,CA,1680049935
243,pedro juan caballero,-22.5472,-55.7333,70.54,81,4,6.26,PY,1680050088
244,swarzedz,52.4129,17.085,28.72,60,0,2.3,PL,1680050088
245,severo-kurilsk,50.6789,156.125,31.64,77,33,14.45,RU,1680049933
246,coihaique,-45.5752,-72.0662,36.21,98,100,7.49,CL,1680050089
247,buala,-8.145,159.5921,85.3,70,90,3.71,SB,1680050089
248,teya,60.3778,92.6267,35.89,99,100,11.01,RU,1680050089
249,rawson,-43.3002,-65.1023,65.03,43,100,12.41,AR,1680050089
250,kieta,-6.2167,155.6333,83.55,71,92,3.18,PG,1680050090
251,port elizabeth,-33.918,25.5701,64.09,76,0,20.71,ZA,1680050090
252,sao jose da coroa grande,-8.8978,-35.1478,76.24,87,0,3.98,BR,1680050090
253,moberly,39.4184,-92.4382,46.92,55,1,7.0,US,1680050090
254,geraldton,-28.7667,114.6,75.61,73,40,18.41,AU,1680050090
255,campos altos,-19.6961,-46.1714,65.25,89,80,0.09,BR,1680050090
256,umkomaas,-30.2067,30.7978,69.67,54,100,7.45,ZA,1680050091
257,hualmay,-11.0964,-77.6139,74.52,82,100,12.37,PE,1680050091
258,dillon,34.4166,-79.3712,66.15,89,100,7.9,US,1680050091
259,novobirilyussy,56.9514,90.6661,38.77,94,100,12.12,RU,1680050091
260,clinton,42.587,-82.9199,46.94,63,20,3.44,US,1680049836
261,galle,6.0367,80.217,77.77,87,100,4.21,LK,1680050091
262,sokolo,14.7328,-6.1219,88.81,11,0,5.61,ML,1680050092
263,gvarv,59.3875,9.1737,33.58,97,98,4.45,NO,1680050092
264,phalodi,27.1333,72.3667,74.97,40,3,9.06,IN,1680050092
265,marsabit,2.3284,37.9899,69.19,65,18,7.65,KE,1680050092
266,bathsheba,13.2167,-59.5167,79.41,65,40,17.27,BB,1680050093
267,mikhaylovka,50.06,43.2379,47.79,73,100,17.45,RU,1680050093
268,noumea,-22.2763,166.4572,84.99,99,100,10.87,NC,1680049803
269,tongliao,43.6125,122.2653,52.48,29,6,7.34,CN,1680050093
270,college,64.8569,-147.8028,30.07,68,100,6.91,US,1680050093
271,sao gabriel da cachoeira,-0.1303,-67.0892,73.04,98,96,0.74,BR,1680050093
272,port keats,-14.25,129.55,86.25,56,92,4.0,AU,1680050094
273,kiama,-34.6833,150.8667,74.37,81,100,3.0,AU,1680050094
274,kiunga,-6.1219,141.2906,85.98,65,100,2.39,PG,1680050094
275,coahuayana,18.7333,-103.6833,74.44,75,0,3.91,MX,1680050094
276,morros,-9.4467,-46.3003,75.85,71,100,2.64,BR,1680050094
277,lucapa,-8.4192,20.7447,66.36,97,100,2.73,AO,1680050095
278,prince rupert,54.3161,-130.3201,51.89,35,0,12.66,CA,1680050095
279,eureka,40.8021,-124.1637,50.61,79,100,10.0,US,1680050078
280,chermoz,58.787,56.1489,18.55,86,6,9.04,RU,1680050095
281,huambo,-12.7761,15.7392,57.76,98,71,2.28,AO,1680050095
282,meulaboh,4.1363,96.1285,76.19,89,100,3.27,ID,1680050096
283,mporokoso,-9.3727,30.125,58.84,98,96,4.5,ZM,1680050096
284,foumban,5.7291,10.9001,70.36,55,90,1.9,CM,1680050096
285,torres,-29.3353,-49.7269,71.83,94,0,3.13,BR,1680050096
286,talnakh,69.4865,88.3972,-17.45,98,89,6.49,RU,1680050096
287,the valley,18.217,-63.0578,78.82,78,1,19.6,AI,1680049846
288,tuktoyaktuk,69.4541,-133.0374,12.2,79,100,19.57,CA,1680050097
289,sao joao da barra,-21.6403,-41.0511,78.89,90,100,3.27,BR,1680050097
290,haines junction,60.7522,-137.5108,40.95,30,100,4.61,CA,1680050097
291,awbari,26.5921,12.7805,64.51,28,0,15.08,LY,1680050097
292,tabuk,17.4189,121.4443,79.32,75,100,1.88,PH,1680050097
293,bontang,0.1333,117.5,79.79,86,100,2.89,ID,1680050098
294,richards bay,-28.783,32.0377,66.34,68,0,11.12,ZA,1680050098
295,coxim,-18.5067,-54.76,78.93,72,53,5.66,BR,1680050098
296,valdivia,-39.8142,-73.2459,53.69,96,19,1.88,CL,1680049922
297,aasiaat,68.7098,-52.8699,-12.82,100,93,4.38,GL,1680050098
298,la maddalena,41.2142,9.4083,48.25,73,0,13.02,IT,1680050099
299,bure,10.7,37.0667,62.78,31,100,2.06,ET,1680050099
300,clyde river,70.4692,-68.5914,-18.17,76,0,2.3,CA,1680050099
301,bayeux,-7.125,-34.9322,81.23,83,40,5.75,BR,1680050099
302,karlskrona,56.1616,15.5866,25.25,48,99,2.84,SE,1680050099
303,faanui,-16.4833,-151.75,82.62,73,60,9.53,PF,1680050100
